date,temp1
7/1/1919,75.6
8/1/1919,74.9
9/1/1919,73.4
10/1/1919,70.9
11/1/1919,63.5
12/1/1919,64.1
1/1/1920,63.6
2/1/1920,61.5
3/1/1920,62.4
4/1/1920,63.1
5/1/1920,65.1
6/1/1920,66
7/1/1920,67.1
8/1/1920,70.6
9/1/1920,68.8
10/1/1920,65.7
11/1/1920,61.8
12/1/1920,56.5
1/1/1921,55.7
2/1/1921,57
3/1/1921,60.2
4/1/1921,60.1
5/1/1921,59.2
6/1/1921,63.5
7/1/1921,68.1
8/1/1921,68.7
9/1/1921,67.8
10/1/1921,64.7
11/1/1921,62.6
12/1/1921,59.4
1/1/1922,54.2
2/1/1922,55
3/1/1922,56.8
4/1/1922,59
5/1/1922,60.5
6/1/1922,64.3
7/1/1922,66.4
8/1/1922,69.4
9/1/1922,69.3
10/1/1922,65
11/1/1922,61.5
12/1/1922,58.5
1/1/1923,58.3
2/1/1923,57.8
3/1/1923,62.2
4/1/1923,60.2
5/1/1923,64.2
6/1/1923,63.4
7/1/1923,66.7
8/1/1923,67
9/1/1923,68.7
10/1/1923,67.3
11/1/1923,66.1
12/1/1923,58.7
1/1/1924,57.8
2/1/1924,60.4
3/1/1924,58.7
4/1/1924,58.9
5/1/1924,61.6
6/1/1924,63.9
7/1/1924,65.9
8/1/1924,73.5
9/1/1924,65.3
10/1/1924,60.7
11/1/1924,59.4
12/1/1924,55
1/1/1925,53.7
2/1/1925,55.4
3/1/1925,56.6
4/1/1925,57.8
5/1/1925,61.5
6/1/1925,64.4
7/1/1925,69.1
8/1/1925,67.3
9/1/1925,64.8
10/1/1925,62.8
11/1/1925,59.9
12/1/1925,59
1/1/1926,56.1
2/1/1926,57.3
3/1/1926,61
4/1/1926,61.5
5/1/1926,61.9
6/1/1926,64.6
7/1/1926,65.5
8/1/1926,67.7
9/1/1926,64
10/1/1926,62.5
11/1/1926,59.7
12/1/1926,53.5
1/1/1927,52.9
2/1/1927,54.7
3/1/1927,54.9
4/1/1927,55.7
5/1/1927,58.6
6/1/1927,61.4
7/1/1927,65.5
8/1/1927,65.6
9/1/1927,63.4
10/1/1927,61.9
11/1/1927,59.6
12/1/1927,54.3
1/1/1928,54.4
2/1/1928,55.6
3/1/1928,57
4/1/1928,57.4
5/1/1928,60.8
6/1/1928,62.1
7/1/1928,63.7
8/1/1928,64.1
9/1/1928,62.8
10/1/1928,58.1
11/1/1928,56.6
12/1/1928,53
1/1/1929,51.1
2/1/1929,51.5
3/1/1929,52.9
4/1/1929,54.2
5/1/1929,59.9
6/1/1929,62.8
7/1/1929,66.2
8/1/1929,67.8
9/1/1929,66.1
10/1/1929,63.8
11/1/1929,57.7
12/1/1929,57.7
1/1/1930,53.2
2/1/1930,55
3/1/1930,56.9
4/1/1930,59.1
5/1/1930,57.7
6/1/1930,62.5
7/1/1930,65.5
8/1/1930,67.1
9/1/1930,64.1
10/1/1930,62.9
11/1/1930,57.7
12/1/1930,54.7
1/1/1931,55.8
2/1/1931,57.3
3/1/1931,60.4
4/1/1931,62.7
5/1/1931,65.4
6/1/1931,68.3
7/1/1931,73.3
8/1/1931,73.1
9/1/1931,68.1
10/1/1931,68.3
11/1/1931,57.6
12/1/1931,54.7
1/1/1932,53.8
2/1/1932,55.5
3/1/1932,59.1
4/1/1932,58.5
5/1/1932,62.1
6/1/1932,62.7
7/1/1932,65.5
8/1/1932,64.6
9/1/1932,65.1
10/1/1932,63.7
11/1/1932,63.5
12/1/1932,55.3
1/1/1933,53.4
2/1/1933,53.7
3/1/1933,57.1
4/1/1933,57.9
5/1/1933,58
6/1/1933,61.1
7/1/1933,65.2
8/1/1933,65.8
9/1/1933,62.3
10/1/1933,62.1
11/1/1933,61.1
12/1/1933,55
1/1/1934,56.6
2/1/1934,57.9
3/1/1934,60.7
4/1/1934,61.6
5/1/1934,64.5
6/1/1934,64.1
7/1/1934,69
8/1/1934,68.9
9/1/1934,68.8
10/1/1934,65.1
11/1/1934,60.8
12/1/1934,59.5
1/1/1935,56.5
2/1/1935,61.9
3/1/1935,56.1
4/1/1935,61
5/1/1935,62.6
6/1/1935,63.2
7/1/1935,66.1
8/1/1935,69.9
9/1/1935,68.4
10/1/1935,65.4
11/1/1935,58.9
12/1/1935,55.6
1/1/1936,54.9
2/1/1936,55.3
3/1/1936,56.7
4/1/1936,55.7
5/1/1936,62.6
6/1/1936,64.7
7/1/1936,69.8
8/1/1936,69.1
9/1/1936,65.7
10/1/1936,63.5
11/1/1936,62.2
12/1/1936,56.6
1/1/1937,48
2/1/1937,51.3
3/1/1937,54.6
4/1/1937,57.1
5/1/1937,61
6/1/1937,62.9
7/1/1937,66.5
8/1/1937,66.9
9/1/1937,66.8
10/1/1937,62.3
11/1/1937,59
12/1/1937,57.8
1/1/1938,57
2/1/1938,55.1
3/1/1938,56.3
4/1/1938,58.3
5/1/1938,60.1
6/1/1938,61.9
7/1/1938,64.5
8/1/1938,68.1
9/1/1938,67.9
10/1/1938,62.4
11/1/1938,57.3
12/1/1938,58
1/1/1939,54.3
2/1/1939,51.4
3/1/1939,53
4/1/1939,58.2
5/1/1939,60.4
6/1/1939,63.4
7/1/1939,66.5
8/1/1939,67.1
9/1/1939,70.8
10/1/1939,66.9
11/1/1939,61.5
12/1/1939,58.6
1/1/1940,57.1
2/1/1940,56.7
3/1/1940,58.1
4/1/1940,60
5/1/1940,62.1
6/1/1940,63
7/1/1940,65.3
8/1/1940,66.5
9/1/1940,66
10/1/1940,64.5
11/1/1940,59.5
12/1/1940,57.8
1/1/1941,56.5
2/1/1941,58.1
3/1/1941,59.6
4/1/1941,58.4
5/1/1941,64.9
6/1/1941,63.3
7/1/1941,65.3
8/1/1941,67.5
9/1/1941,64.9
10/1/1941,63.4
11/1/1941,60.6
12/1/1941,56.5
1/1/1942,55.8
2/1/1942,54.7
3/1/1942,55.2
4/1/1942,58.6
5/1/1942,60.2
6/1/1942,61.7
7/1/1942,65.2
8/1/1942,65.4
9/1/1942,63.7
10/1/1942,64.2
11/1/1942,59
12/1/1942,55.7
1/1/1943,55.5
2/1/1943,57.5
3/1/1943,58
4/1/1943,58.8
5/1/1943,61.8
6/1/1943,62.8
7/1/1943,68.3
8/1/1943,68.9
9/1/1943,67.7
10/1/1943,65.1
11/1/1943,61.3
12/1/1943,58.4
1/1/1944,55.4
2/1/1944,53.9
3/1/1944,57.4
4/1/1944,56.3
5/1/1944,59.6
6/1/1944,61.1
7/1/1944,62.8
8/1/1944,64.3
9/1/1944,64.4
10/1/1944,63.9
11/1/1944,58.2
12/1/1944,56.3
1/1/1945,53.6
2/1/1945,55.1
3/1/1945,54.7
4/1/1945,56.6
5/1/1945,59.1
6/1/1945,61.9
7/1/1945,65.9
8/1/1945,67.2
9/1/1945,
11/1/1945,57.7
12/1/1945,54.6
1/1/1946,54
2/1/1946,52.6
3/1/1946,55.1
4/1/1946,57.8
5/1/1946,60
6/1/1946,62.6
7/1/1946,65.8
8/1/1946,67.3
9/1/1946,67.7
10/1/1946,63.6
11/1/1946,57.3
12/1/1946,54.3
1/1/1947,51.9
2/1/1947,55.1
3/1/1947,57.6
4/1/1947,60.2
5/1/1947,62.6
6/1/1947,65.1
7/1/1947,65.8
8/1/1947,67.3
9/1/1947,66.8
10/1/1947,65.2
11/1/1947,56.9
12/1/1947,55
1/1/1948,54.9
2/1/1948,52.7
3/1/1948,53.1
4/1/1948,58.3
5/1/1948,59.3
6/1/1948,61.9
7/1/1948,62.9
8/1/1948,63.2
9/1/1948,64.2
10/1/1948,61.7
11/1/1948,58.2
12/1/1948,52.6
