Date/Time (EST),2m Air Temperature (daily avg) (F),2m Max Temperature (F),2m Min Temperature (F)
1/1/1919,42.5,57,28
1/2/1919,45,56,34
1/3/1919,54,70,38
1/4/1919,55.5,69,42
1/5/1919,52,69,35
1/6/1919,50.5,64,37
1/7/1919,55,68,42
1/8/1919,64,75,53
1/9/1919,64.5,77,52
1/10/1919,55.5,72,39
1/11/1919,52,64,40
1/12/1919,49,61,37
1/13/1919,51,66,36
1/14/1919,49,64,34
1/15/1919,48.5,61,36
1/16/1919,47.5,60,35
1/17/1919,48,61,35
1/18/1919,54,61,47
1/19/1919,54.5,59,50
1/20/1919,52,61,43
1/21/1919,50,61,39
1/22/1919,54.5,66,43
1/23/1919,53,67,39
1/24/1919,55,61,49
1/25/1919,51,61,41
1/26/1919,51.5,63,40
1/27/1919,57,70,44
1/28/1919,67,75,59
1/29/1919,58.5,69,48
1/30/1919,58,64,52
1/31/1919,52,55,49
2/1/1919,49.5,56,43
2/2/1919,49,56,42
2/3/1919,49,57,41
2/4/1919,52,60,44
2/5/1919,57,64,50
2/6/1919,58,64,52
2/7/1919,55,62,48
2/8/1919,56,60,52
2/9/1919,52,60,44
2/10/1919,56,62,50
2/11/1919,54.5,58,51
2/12/1919,49,59,39
2/13/1919,51,59,43
2/14/1919,53.5,60,47
2/15/1919,50,59,41
2/16/1919,54,63,45
2/17/1919,54.5,60,49
2/18/1919,51,59,43
2/19/1919,54,60,48
2/20/1919,53.5,60,47
2/21/1919,52,59,45
2/22/1919,53.5,58,49
2/23/1919,48,57,39
2/24/1919,48,58,38
2/25/1919,49,61,37
2/26/1919,52.5,55,50
2/27/1919,50,59,41
2/28/1919,52.5,58,47
3/1/1919,51.5,59,44
3/2/1919,56,60,52
3/3/1919,49,58,40
3/4/1919,50,60,40
3/5/1919,49.5,60,39
3/6/1919,51,63,39
3/7/1919,50,61,39
3/8/1919,55.5,68,43
3/9/1919,47,60,34
3/10/1919,54,69,39
3/11/1919,53.5,66,41
3/12/1919,53,61,45
3/13/1919,48,60,36
3/14/1919,46.5,58,35
3/15/1919,49,55,43
3/16/1919,49.5,59,40
3/17/1919,55,68,42
3/18/1919,56,60,52
3/19/1919,51,57,45
3/20/1919,51,57,45
3/21/1919,51,59,43
3/22/1919,51.5,59,44
3/23/1919,52.5,60,45
3/24/1919,56,60,52
3/25/1919,57.5,60,55
3/26/1919,57.5,61,54
3/27/1919,55,61,49
3/28/1919,58,62,54
3/29/1919,58,63,53
3/30/1919,54,63,45
3/31/1919,56,59,53
4/1/1919,56,59,53
4/2/1919,56,59,53
4/3/1919,58,61,55
4/4/1919,58,61,55
4/5/1919,58,61,55
4/6/1919,56,62,50
4/7/1919,54,62,46
4/8/1919,54,63,45
4/9/1919,53,62,44
4/10/1919,57.5,67,48
4/11/1919,59,65,53
4/12/1919,57,63,51
4/13/1919,54.5,64,45
4/14/1919,57.5,66,49
4/15/1919,58,69,47
4/16/1919,58,68,48
4/17/1919,56.5,65,48
4/18/1919,59,65,53
4/19/1919,60.5,64,57
4/20/1919,60.5,65,56
4/21/1919,58,64,52
4/22/1919,59,65,53
4/23/1919,59.5,62,57
4/24/1919,58,62,54
4/25/1919,57,61,53
4/26/1919,54,60,48
4/27/1919,55,61,49
4/28/1919,54,63,45
4/29/1919,59.5,62,57
4/30/1919,59.5,62,57
5/1/1919,59.5,63,56
5/2/1919,58,61,55
5/3/1919,59,61,57
5/4/1919,59.5,62,57
5/5/1919,60,62,58
