date,temp2
1/1/1919,40
2/1/1919,36.8
3/1/1919,39.7
4/1/1919,50
5/1/1919,55.6
6/1/1919,64.9
7/1/1919,71.9
8/1/1919,74.4
9/1/1919,66.3
10/1/1919,56.7
11/1/1919,44.8
12/1/1919,42.3
1/1/1920,45.2
2/1/1920,43.9
3/1/1920,43.4
4/1/1920,50.6
5/1/1920,57.6
6/1/1920,66.6
7/1/1920,70.4
8/1/1920,72.7
9/1/1920,51.3
10/1/1920,41.7
11/1/1920,36.8
12/1/1920,35.7
1/1/1921,32.2
2/1/1921,38.9
3/1/1921,44.6
4/1/1921,44.4
5/1/1921,40.9
6/1/1921,60.7
7/1/1921,67.4
8/1/1921,65.7
9/1/1921,61.5
10/1/1921,60.5
11/1/1921,46.1
12/1/1921,45.4
1/1/1922,36.6
2/1/1922,41
3/1/1922,39
4/1/1922,49
5/1/1922,55.8
6/1/1922,67.8
7/1/1922,69.7
8/1/1922,66.1
9/1/1922,65.3
10/1/1922,53.4
11/1/1922,41.3
12/1/1922,42.5
1/1/1923,39.6
2/1/1923,37.2
3/1/1923,44.4
4/1/1923,40.3
5/1/1923,55.1
6/1/1923,54.8
7/1/1923,65.3
8/1/1923,66
9/1/1923,55.5
10/1/1923,44
11/1/1923,40
12/1/1923,35.9
1/1/1924,33.5
2/1/1924,43
3/1/1924,38.7
4/1/1924,46
5/1/1924,59.2
6/1/1924,67.8
7/1/1924,72.3
8/1/1924,69
9/1/1924,63
10/1/1924,49.3
11/1/1924,44.6
12/1/1924,32.2
1/1/1925,40.4
2/1/1925,43.2
3/1/1925,45.1
4/1/1925,47
5/1/1925,50.9
6/1/1925,65.3
7/1/1925,71.9
8/1/1925,69
9/1/1925,63
10/1/1925,48.1
11/1/1925,44.1
12/1/1925,39.6
1/1/1926,36.4
2/1/1926,44.8
3/1/1926,48.3
4/1/1926,51.6
5/1/1926,56.7
6/1/1926,67.9
7/1/1926,70.8
8/1/1926,71.4
9/1/1926,64.5
10/1/1926,57.6
11/1/1926,52.3
12/1/1926,39.1
1/1/1927,43.9
2/1/1927,45.1
3/1/1927,44.6
4/1/1927,51
