date,temp3
1/1/1919,54
2/1/1919,55.6
3/1/1919,61.1
4/1/1919,74.6
5/1/1919,79.3
6/1/1919,88.4
7/1/1919,92.4
8/1/1919,92.3
9/1/1919,85.4
10/1/1919,69.9
11/1/1919,61.6
12/1/1919,56.3
1/1/1920,56.8
2/1/1920,60.2
3/1/1920,61.5
4/1/1920,68.2
5/1/1920,79.3
6/1/1920,86.3
7/1/1920,94.6
8/1/1920,89.6
9/1/1920,82.5
10/1/1920,69.7
11/1/1920,61.4
12/1/1920,52.7
1/1/1921,53
2/1/1921,61.1
3/1/1921,68
4/1/1921,69.8
5/1/1921,74.5
6/1/1921,88.2
7/1/1921,92
8/1/1921,89.5
9/1/1921,85.6
10/1/1921,77.6
11/1/1921,65.7
12/1/1921,57.2
1/1/1922,51.7
2/1/1922,56.5
3/1/1922,61.2
4/1/1922,67
5/1/1922,80
6/1/1922,89.7
7/1/1922,93.3
8/1/1922,92.2
9/1/1922,88.7
10/1/1922,76.4
11/1/1922,60.2
12/1/1922,58.5
1/1/1923,57.9
2/1/1923,59.9
3/1/1923,63.7
4/1/1923,71.1
5/1/1923,82.8
6/1/1923,82.8
7/1/1923,90.9
8/1/1923,89.8
9/1/1923,83.7
10/1/1923,73.2
11/1/1923,64
12/1/1923,56
1/1/1924,54.9
2/1/1924,63.2
3/1/1924,61.4
4/1/1924,70.3
5/1/1924,83.5
6/1/1924,91.1
7/1/1924,92
8/1/1924,90.8
9/1/1924,86.8
10/1/1924,72.3
11/1/1924,65.3
12/1/1924,54
1/1/1926,54.7
2/1/1926,61.3
3/1/1926,68.9
4/1/1926,71.9
5/1/1926,78.1
6/1/1926,88.4
7/1/1926,91.2
8/1/1926,90.3
9/1/1926,85
10/1/1926,76.6
11/1/1926,66.3
12/1/1926,53.1
1/1/1927,57.5
2/1/1927,61.2
3/1/1927,61.9
4/1/1927,71
5/1/1927,77.5
6/1/1927,84.3
7/1/1927,90.9
8/1/1927,88.9
9/1/1927,82.7
10/1/1927,74.9
11/1/1927,65.6
12/1/1927,52.5
1/1/1928,57.8
2/1/1928,59.2
3/1/1928,66.5
4/1/1928,70.4
5/1/1928,77.7
6/1/1928,85.7
7/1/1928,90.5
8/1/1928,90.6
9/1/1928,87
10/1/1928,74.2
11/1/1928,64
12/1/1928,55.7
1/1/1929,52.4
2/1/1929,56.2
3/1/1929,65.3
4/1/1929,68.9
5/1/1929,80.8
6/1/1929,87.2
7/1/1929,92.2
8/1/1929,92.8
9/1/1929,84.4
10/1/1929,79
11/1/1929,61.4
12/1/1929,59.7
1/1/1930,52.8
2/1/1930,64.6
3/1/1930,66.1
4/1/1930,75.2
5/1/1930,73.8
6/1/1930,87.2
7/1/1930,92.3
8/1/1930,90.5
9/1/1930,83
10/1/1930,74
11/1/1930,63.7
12/1/1930,53.6
1/1/1931,56.5
2/1/1931,59.8
3/1/1931,66.1
4/1/1931,73.9
5/1/1931,83
6/1/1931,85.4
7/1/1931,95.2
8/1/1931,90
9/1/1931,83.3
10/1/1931,75.2
11/1/1931,58.1
12/1/1931,51.3
1/1/1932,50.7
2/1/1932,57.5
3/1/1932,67
4/1/1932,72.7
5/1/1932,79.1
6/1/1932,86.5
7/1/1932,89
8/1/1932,89.2
9/1/1932,85.1
10/1/1932,71.9
11/1/1932,64.9
12/1/1932,50.4
1/1/1933,50.3
2/1/1933,53.2
3/1/1933,66.3
4/1/1933,68.4
5/1/1933,75.8
6/1/1933,86.7
7/1/1933,94.2
8/1/1933,92.6
9/1/1933,86.2
10/1/1933,79.5
11/1/1933,65.2
12/1/1933,54
1/1/1934,58.3
2/1/1934,64.8
3/1/1934,75.9
4/1/1934,77.4
5/1/1934,84.2
6/1/1934,83.8
7/1/1934,94.1
8/1/1934,92.8
9/1/1934,84.5
10/1/1934,77.5
11/1/1934,66
12/1/1934,57.5
1/1/1935,55.2
2/1/1935,61
3/1/1935,61.4
4/1/1935,71.9
5/1/1935,76.4
6/1/1935,90
7/1/1935,91.9
8/1/1935,90.3
9/1/1935,87.3
10/1/1935,72.2
11/1/1935,59.1
12/1/1935,56.2
1/1/1936,55
2/1/1936,58.3
3/1/1936,68.2
4/1/1936,74.8
5/1/1936,82.3
6/1/1936,88.2
7/1/1936,92.8
8/1/1936,90.8
9/1/1936,83.6
10/1/1936,73.9
11/1/1936,63.2
12/1/1936,54.5
1/1/1937,43.6
2/1/1937,56.9
3/1/1937,64.3
4/1/1937,71.7
5/1/1937,80
6/1/1937,87.8
7/1/1937,93.9
8/1/1937,93.9
9/1/1937,88.7
10/1/1937,78
11/1/1937,66.8
12/1/1937,59.4
1/1/1938,57.9
2/1/1938,57
3/1/1938,61.1
4/1/1938,70.8
5/1/1938,79
6/1/1938,85.8
7/1/1938,91.2
8/1/1938,90.7
9/1/1938,87.3
10/1/1938,74.1
11/1/1938,58.6
12/1/1938,58.1
1/1/1939,54.5
2/1/1939,52.1
3/1/1939,65.2
4/1/1939,75.4
5/1/1939,81.3
6/1/1939,86.5
7/1/1939,92.3
8/1/1939,91.4
9/1/1939,81.6
10/1/1939,73.5
11/1/1939,66
12/1/1939,60.8
1/1/1940,58
2/1/1940,58.2
3/1/1940,67.7
4/1/1940,73.4
5/1/1940,83.3
6/1/1940,89.6
7/1/1940,91.9
8/1/1940,91.8
9/1/1940,83.5
10/1/1940,75.1
11/1/1940,61.2
12/1/1940,57.1
1/1/1941,55.4
2/1/1941,59
3/1/1941,63.2
4/1/1941,67.5
5/1/1941,80.3
6/1/1941,84.9
7/1/1941,91.9
8/1/1941,88
9/1/1941,81.4
10/1/1941,70.1
11/1/1941,64.2
12/1/1941,55.3
1/1/1942,57.4
2/1/1942,55.4
3/1/1942,62.4
4/1/1942,70
5/1/1942,78.1
6/1/1942,86.7
7/1/1942,94.8
8/1/1942,91.2
9/1/1942,86
10/1/1942,74.7
11/1/1942,64
12/1/1942,57.1
1/1/1943,54.7
2/1/1943,59.9
3/1/1943,66.7
4/1/1943,73.4
5/1/1943,80.4
6/1/1943,83.8
7/1/1943,92.7
8/1/1943,89.1
9/1/1943,87.8
10/1/1943,74.4
11/1/1943,62.3
12/1/1943,53.8
1/1/1944,53
2/1/1944,53.2
3/1/1944,61.1
4/1/1944,67.7
5/1/1944,76.4
6/1/1944,81.3
7/1/1944,90.1
8/1/1944,91.1
9/1/1944,84.4
10/1/1944,77.2
11/1/1944,60.2
12/1/1944,55.7
1/1/1945,54.7
2/1/1945,57.6
3/1/1945,59.9
4/1/1945,69.4
5/1/1945,78.5
6/1/1945,84.1
7/1/1945,91.3
8/1/1945,89
9/1/1945,85.6
10/1/1945,75.9
11/1/1945,60.6
12/1/1945,53.3
1/1/1946,54.5
2/1/1946,56.4
3/1/1946,61.9
4/1/1946,74.7
5/1/1946,77.4
6/1/1946,88.6
7/1/1946,90.7
8/1/1946,91.8
9/1/1946,87.1
10/1/1946,69.6
11/1/1946,58.8
12/1/1946,58.1
1/1/1947,53.2
2/1/1947,64.1
3/1/1947,66.9
4/1/1947,73.4
5/1/1947,80
6/1/1947,85.9
7/1/1947,92.2
8/1/1947,89.2
9/1/1947,87.9
10/1/1947,75.8
11/1/1947,59
12/1/1947,53.9
1/1/1948,56.2
2/1/1948,57.7
3/1/1948,59.5
4/1/1948,71.3
5/1/1948,78.6
6/1/1948,85.3
7/1/1948,89.8
8/1/1948,90.5
9/1/1948,85.2
10/1/1948,74.9
11/1/1948,58.6
12/1/1948,49.9
1/1/1949,44.7
2/1/1949,53.4
3/1/1949,62.5
4/1/1949,74.2
5/1/1949,76.9
6/1/1949,86.7
7/1/1949,90
8/1/1949,89.9
9/1/1949,86.8
10/1/1949,72
11/1/1949,68.5
12/1/1949,53
