date,temp4
1/1/1919,53.2
2/1/1919,48.7
3/1/1919,52.4
4/1/1919,60.3
5/1/1919,64.4
6/1/1919,73.2
7/1/1919,77.2
8/1/1919,76.6
9/1/1919,72.1
10/1/1919,61.1
11/1/1919,56.6
12/1/1919,53.2
1/1/1920,52.7
2/1/1920,52.7
3/1/1920,53.1
4/1/1920,57.1
5/1/1920,64.3
6/1/1920,68.6
7/1/1920,77.1
8/1/1920,76.4
9/1/1920,70.7
10/1/1920,60.5
11/1/1920,55.2
12/1/1920,48.6
1/1/1921,48.6
2/1/1921,53.4
3/1/1921,56.3
4/1/1921,56.5
5/1/1921,59.1
6/1/1921,69.5
7/1/1921,77.4
8/1/1921,75.9
9/1/1921,71.1
10/1/1921,66.1
11/1/1921,58.6
12/1/1921,54.7
1/1/1922,45.8
2/1/1922,48.3
3/1/1922,51.1
4/1/1922,54.3
5/1/1922,64.1
6/1/1922,71.7
7/1/1922,75.8
8/1/1922,78.5
9/1/1922,77.1
10/1/1922,63.6
11/1/1922,53.9
12/1/1922,54
1/1/1923,53.2
2/1/1923,52.5
3/1/1923,56
4/1/1923,57.4
5/1/1923,65.8
6/1/1923,66.6
7/1/1923,75.4
8/1/1923,74.1
9/1/1923,72.6
10/1/1923,64
11/1/1923,59.8
12/1/1923,51.9
1/1/1924,51.5
2/1/1924,58
3/1/1924,51.6
4/1/1924,57.5
5/1/1924,66.2
6/1/1924,72.6
7/1/1924,73.9
8/1/1924,74.3
9/1/1924,73.4
10/1/1924,61.5
11/1/1924,58.5
12/1/1924,50.2
1/1/1925,51.7
2/1/1925,55.8
3/1/1925,57.2
4/1/1925,58.5
5/1/1925,64.6
6/1/1925,71.4
7/1/1925,78.5
8/1/1925,75.3
9/1/1925,70.1
10/1/1925,62.7
11/1/1925,56.2
12/1/1925,56.1
1/1/1926,52.2
2/1/1926,56.5
3/1/1926,59.7
4/1/1926,62.3
5/1/1926,66.3
6/1/1926,72.2
7/1/1926,76.4
8/1/1926,77.4
9/1/1926,70.5
10/1/1926,67.5
11/1/1926,62.7
12/1/1926,49.4
1/1/1927,52.5
2/1/1927,53.8
3/1/1927,54.1
4/1/1927,59.5
5/1/1927,66.2
6/1/1927,70.4
7/1/1927,79
8/1/1927,76.5
9/1/1927,70.2
10/1/1927,68.2
11/1/1927,60.3
12/1/1927,49.9
1/1/1928,54.5
2/1/1928,54.7
3/1/1928,58
4/1/1928,61.1
5/1/1928,66.4
6/1/1928,69.4
7/1/1928,75.7
8/1/1928,76
9/1/1928,76.2
10/1/1928,63.6
11/1/1928,57.9
12/1/1928,51.4
1/1/1929,49.3
2/1/1929,49.7
3/1/1929,55.3
4/1/1929,56.3
5/1/1929,66.5
6/1/1929,70.8
7/1/1929,77.4
8/1/1929,81.6
9/1/1929,72.2
10/1/1929,69.2
11/1/1929,61.5
12/1/1929,58.6
1/1/1930,49.6
2/1/1930,57.8
3/1/1930,56.8
4/1/1930,63
5/1/1930,60.4
6/1/1930,69.7
7/1/1930,77.3
8/1/1930,76.2
9/1/1930,67.8
10/1/1930,63.3
11/1/1930,59
12/1/1930,49.9
1/1/1931,52.4
2/1/1931,53
3/1/1931,59.3
4/1/1931,63
5/1/1931,67.6
6/1/1931,70
7/1/1931,81
8/1/1931,78.4
9/1/1931,71.5
10/1/1931,64
11/1/1931,52.9
12/1/1931,47.7
1/1/1932,46.1
2/1/1932,49.8
3/1/1932,57.3
4/1/1932,58.9
5/1/1932,62.4
6/1/1932,67.7
7/1/1932,73.6
8/1/1932,74.1
9/1/1932,71.1
10/1/1932,63.6
11/1/1932,61.8
12/1/1932,46.9
1/1/1933,47
2/1/1933,48.5
3/1/1933,55.6
4/1/1933,55.9
5/1/1933,58.2
6/1/1933,68.1
7/1/1933,77.1
8/1/1933,75.6
9/1/1933,67.7
10/1/1933,68.3
11/1/1933,61.5
12/1/1933,53.2
1/1/1934,53.3
2/1/1934,53.9
3/1/1934,63.6
4/1/1934,63.3
5/1/1934,67.7
6/1/1934,66.3
7/1/1934,77.6
8/1/1934,77
9/1/1934,72.8
10/1/1934,65.9
11/1/1934,56.9
12/1/1934,53.8
1/1/1935,50.3
2/1/1935,53.3
3/1/1935,51.1
4/1/1935,59.3
5/1/1935,61.8
6/1/1935,71.6
7/1/1935,75.9
8/1/1935,78.3
9/1/1935,72.9
10/1/1935,62.2
11/1/1935,54.5
12/1/1935,52
1/1/1936,52.4
2/1/1936,50.5
3/1/1936,56.4
4/1/1936,59.8
5/1/1936,66.7
6/1/1936,72.3
7/1/1936,78.3
8/1/1936,77.2
9/1/1936,72.5
10/1/1936,64.6
11/1/1936,58.9
12/1/1936,51.2
1/1/1937,39.6
2/1/1937,49.9
3/1/1937,53.9
4/1/1937,59.1
5/1/1937,65.2
6/1/1937,71.5
7/1/1937,77.5
8/1/1937,77.5
9/1/1937,75.1
10/1/1937,67.1
11/1/1937,57.2
12/1/1937,54.4
1/1/1938,54.3
2/1/1938,51
3/1/1938,52.6
4/1/1938,59
5/1/1938,63.4
6/1/1938,68.4
7/1/1938,75.1
8/1/1938,76.6
9/1/1938,74.9
10/1/1938,63.3
11/1/1938,54.9
12/1/1938,54.8
1/1/1939,49.5
2/1/1939,46.6
3/1/1939,53.7
4/1/1939,62.8
5/1/1939,63.7
6/1/1939,70.4
7/1/1939,74.9
8/1/1939,76.2
9/1/1939,72.8
10/1/1939,65.4
11/1/1939,59.9
12/1/1939,56.2
1/1/1940,52.2
2/1/1940,51.7
3/1/1940,56.9
4/1/1940,60.1
5/1/1940,67.2
6/1/1940,70.8
7/1/1940,75.1
8/1/1940,75.4
9/1/1940,70.2
10/1/1940,66
11/1/1940,56.3
12/1/1940,54.4
1/1/1941,51.8
2/1/1941,54.4
3/1/1941,56.2
4/1/1941,56.4
5/1/1941,66.3
6/1/1941,67.4
7/1/1941,75.9
8/1/1941,73
9/1/1941,68
10/1/1941,61.5
11/1/1941,59.9
12/1/1941,51
