. tab term

term of the |
      Court |      Freq.     Percent        Cum.
------------+-----------------------------------
       1953 |         52        1.51        1.51
       1954 |         50        1.45        2.96
       1955 |         55        1.59        4.55
       1956 |         86        2.49        7.04
       1957 |         90        2.61        9.65
       1958 |         67        1.94       11.59
       1959 |         83        2.41       14.00
       1960 |         85        2.46       16.46
       1961 |         64        1.86       18.32
       1962 |         76        2.20       20.52
       1963 |         72        2.09       22.61
       1964 |         60        1.74       24.35
       1965 |         58        1.68       26.03
       1966 |         75        2.17       28.20
       1967 |         75        2.17       30.38
       1968 |         68        1.97       32.35
       1969 |         68        1.97       34.32
       1970 |         78        2.26       36.58
       1971 |         89        2.58       39.16
       1972 |        102        2.96       42.12
       1973 |         99        2.87       44.99
       1974 |         84        2.43       47.42
       1975 |         88        2.55       49.97
       1976 |         92        2.67       52.64
       1977 |         86        2.49       55.13
       1978 |         81        2.35       57.48
       1979 |         96        2.78       60.26
       1980 |         80        2.32       62.58
       1981 |         92        2.67       65.25
       1982 |         90        2.61       67.86
       1983 |         83        2.41       70.26
       1984 |         77        2.23       72.49
       1985 |        100        2.90       75.39
       1986 |        104        3.01       78.41
       1987 |         77        2.23       80.64
       1988 |         82        2.38       83.01
       1989 |         86        2.49       85.51
       1990 |         69        2.00       87.51
       1991 |         63        1.83       89.33
       1992 |         57        1.65       90.99
       1993 |         49        1.42       92.41
       1994 |         47        1.36       93.77
       1995 |         42        1.22       94.99
       1996 |         40        1.16       96.14
       1997 |         43        1.25       97.39
       1998 |         46        1.33       98.72
       1999 |         44        1.28      100.00
------------+-----------------------------------
      Total |       3450      100.00


